Employee_ID,Response_Date,Vibe_Score
EMP0454,01-01-2023,3
EMP0071,02-01-2023,1
EMP0096,03-01-2023,4
EMP0206,04-01-2023,5
EMP0074,05-01-2023,3
EMP0215,06-01-2023,3
EMP0128,07-01-2023,5
EMP0201,08-01-2023,3
EMP0043,09-01-2023,3
EMP0317,10-01-2023,4
EMP0467,11-01-2023,2
EMP0055,12-01-2023,3
EMP0320,13-01-2023,1
EMP0210,14-01-2023,4
EMP0027,15-01-2023,5
EMP0069,16-01-2023,4
EMP0332,17-01-2023,1
EMP0172,18-01-2023,5
EMP0019,19-01-2023,3
EMP0390,20-01-2023,4
EMP0478,21-01-2023,5
EMP0373,22-01-2023,3
EMP0343,23-01-2023,3
EMP0092,24-01-2023,5
EMP0045,25-01-2023,4
EMP0423,26-01-2023,5
EMP0430,27-01-2023,4
EMP0084,28-01-2023,4
EMP0002,29-01-2023,1
EMP0146,30-01-2023,1
EMP0387,31-01-2023,1
EMP0356,01-02-2023,1
EMP0139,02-02-2023,3
EMP0449,03-02-2023,1
EMP0187,04-02-2023,3
EMP0167,05-02-2023,5
EMP0322,06-02-2023,3
EMP0067,07-02-2023,5
EMP0449,08-02-2023,5
EMP0287,09-02-2023,3
EMP0203,10-02-2023,5
EMP0109,11-02-2023,3
EMP0130,12-02-2023,4
EMP0409,13-02-2023,5
EMP0144,14-02-2023,4
EMP0110,15-02-2023,4
EMP0323,16-02-2023,1
EMP0463,17-02-2023,2
EMP0465,18-02-2023,2
EMP0056,19-02-2023,1
EMP0188,20-02-2023,2
EMP0289,21-02-2023,5
EMP0081,22-02-2023,5
EMP0265,23-02-2023,5
EMP0375,24-02-2023,5
EMP0286,25-02-2023,5
EMP0202,26-02-2023,5
EMP0281,27-02-2023,1
EMP0102,28-02-2023,2
EMP0440,01-03-2023,5
EMP0023,02-03-2023,4
EMP0468,03-03-2023,5
EMP0380,04-03-2023,3
EMP0396,05-03-2023,4
EMP0306,06-03-2023,1
EMP0279,07-03-2023,5
EMP0283,08-03-2023,2
EMP0296,09-03-2023,2
EMP0124,10-03-2023,5
EMP0028,11-03-2023,2
EMP0220,12-03-2023,4
EMP0416,13-03-2023,5
